Category,Area,Finding,File,Lines,Severity,Effort,Status
Request Layer,HTTP Client,Single Axios instance with withCredentials and 60s timeout,lib/flairapi.ts,13-19,Info,N/A,Good
Request Layer,HTTP Client,Token refresh with request queuing - concurrent requests held and retried after refresh,lib/flairapi.ts,107-142,Info,N/A,Good
Request Layer,HTTP Client,NProgress bar wired to active request count via startRequest/endRequest,lib/flairapi.ts,83-92,Info,N/A,Good
Request Layer,HTTP Client,403 limit_reached auto-opens upgrade modal via SubscriptionStore,lib/flairapi.ts,145-155,Info,N/A,Good
Request Layer,HTTP Client,Network and 5xx errors trigger SystemErrorStore.lock() overlay,lib/flairapi.ts,158-180,Info,N/A,Good
Request Layer,HTTP Client,No per-endpoint timeout override - all endpoints share global 60s timeout,lib/flairapi.ts,13-19,Medium,Low,Fix Needed
Request Layer,HTTP Client,No request deduplication at HTTP level - Axios does not deduplicate identical in-flight calls,lib/flairapi.ts,1-186,Medium,Medium,Fix Needed
Request Layer,HTTP Client,sessionStorage used for logout reason (auth_logout_reason) - fragile across tabs,lib/flairapi.ts,133,Low,Low,Review
Request Layer,Auth,Tokens managed server-side via Set-Cookie with credentials - no manual token header management,lib/flairapi.ts,1-186,Info,N/A,Good
Request Layer,Auth,Slow network hint shown after 4 seconds of pending request,lib/flairapi.ts,50-57,Info,N/A,Good
Data Fetching,React Query Config,Default stale time of 5 minutes configured globally,pages/+queryClientConfig.ts,1-15,Info,N/A,Good
Data Fetching,React Query Config,Retry logic: retries once (failureCount < 1) with 403 exclusion,pages/+queryClientConfig.ts,1-15,Info,N/A,Good
Data Fetching,React Query Config,refetchOnWindowFocus disabled - intentional but means focus does not refresh stale data,pages/+queryClientConfig.ts,1-15,Low,Low,Review
Data Fetching,React Query Config,refetchOnReconnect disabled - data stays stale after network drop recovers,pages/+queryClientConfig.ts,1-15,Medium,Low,Fix Needed
Data Fetching,React Query Config,No SSR query preloading visible - no +queryData.js files found - risks hydration mismatches with Vike SSR,pages/+queryClientConfig.ts,1-15,High,High,Fix Needed
Data Fetching,Hooks Pattern,Clean service -> hook -> component pattern across 27 feature modules,features/*/useXXX.ts,N/A,Info,N/A,Good
Data Fetching,Hooks Pattern,Infinity stale time correctly applied to truly static data (allergies platform permissions invitations),features/*/useXXX.ts,N/A,Info,N/A,Good
Data Fetching,Hooks Pattern,Selective stale times by feature: employees=5s inventory=2-10min,features/*/useXXX.ts,N/A,Info,N/A,Good
Data Fetching,Hooks Pattern,Custom useApiMutation wrapper adds type safety for Axios errors,hooks/use-api-mutation.ts,1-9,Info,N/A,Good
Data Fetching,Response Handling,Inconsistent API response shape - every hook has custom unwrapping logic (resp?.data?.data vs resp.data),features/orders/useOrders.ts,43-50,High,Medium,Fix Needed
Data Fetching,Response Handling,Error catch block returns empty array - UI may misinterpret as no data instead of error state,features/orders/useOrders.ts,47-50,High,Low,Fix Needed
Data Fetching,Response Handling,No normalization layer between service and hooks - unwrapping duplicated across 27 features,features/*/useXXX.ts,N/A,High,Medium,Fix Needed
Real-time,Notifications,FCM primary with SSE auto-reconnect fallback,features/notifications/useNotificationSocket.ts,32-85,Info,N/A,Good
Real-time,Notifications,Notification-driven cache invalidation maps notification type to specific React Query key,features/notifications/useNotificationSocket.ts,93-134,Info,N/A,Good
Real-time,Notifications,FCM device ID stored in localStorage for tracking across sessions,features/notifications/useNotificationSocket.ts,32-65,Info,N/A,Good
Real-time,Notifications,SSE onmessage catch block silently swallows malformed events with no logging,features/notifications/useNotificationSocket.ts,79,High,Low,Fix Needed
Real-time,Polling,Reservation dashboard polls every 60 seconds when pollingEnabled=true,features/reservations/useReservationDashboard.ts,N/A,Info,N/A,Good
Real-time,Polling,Diner mode orders poll every 30-60 seconds,features/diner-mode/useDinerMode.ts,67-84,Info,N/A,Good
Real-time,Polling,Data export uses dynamic interval based on export status,features/*/useDataExport.ts,N/A,Info,N/A,Good
Real-time,Polling,All polling intervals are hardcoded in hooks - cannot be tuned from component layer,features/*/useXXX.ts,N/A,Medium,Medium,Fix Needed
State Management,Zustand,SystemErrorStore tracks app lock state for network and server failures,features/system-errors/SystemErrorStore.ts,1-23,Info,N/A,Good
State Management,Zustand,SubscriptionStore handles upgrade modal visibility,features/subscriptions/SubscriptionStore.ts,1-16,Info,N/A,Good
