Rank,Severity,Category,Surface,File,Line,Issue,Recommendation
1,Critical,Code Convention,API Layer,features/station/station-api.ts,6,"stationApi is a standalone axios.create() instance that entirely bypasses the shared flairapi client, so all POS device traffic misses flairapi's auth-refresh, 401 handling, request dedupe, and system-error interceptors.","Route station requests through flairapi with per-call header overrides for the device token instead of a separate axios instance."
2,Critical,Code Convention,API Layer,features/station/station-api.ts,30,"staffApi is a second standalone axios.create() instance duplicating stationApi's setup, bypassing flairapi for all staff-authenticated POS/KDS write operations.","Consolidate into flairapi via an interceptor or per-call header override."
3,Critical,Code Convention,API Layer,features/station/station-api.ts,55,"publicApi is a third standalone axios.create() instance for the device pairing endpoint, again bypassing the shared flairapi client.","Use flairapi for this call as well, since it doesn't require withCredentials/auth headers by default."
4,Critical,Code Convention,Staff/POS/Station,features/station/useStationAuth.ts,25,"Station/POS device auth bearer tokens are read from and written to plain localStorage instead of @/misc/SecureStorage (confirmed independently at the call sites components/station/PairingScreen.tsx:42 and components/station/StationBootstrap.tsx:115), exposing session-equivalent tokens to any XSS on the page.","Store and read station/staff auth tokens via @/misc/SecureStorage instead of raw localStorage."
5,Critical,Code Convention,API Layer,features/business/employment/useBusinessEmployment.ts,7,"useQuery keyed on businessId has no enabled guard, so on first render with a falsy businessId the query still fires with an undefined/empty ID in the URL.","Add enabled: !!businessId to match every other business-scoped hook in the codebase."
6,Critical,Mobile Responsiveness,Customer/Public,components/diner-mode/DinerMenuTab.tsx,199,"The primary add-to-cart icon button on every menu item is only h-7 w-7 (28px), well under the ~36-40px minimum touch target, on the single highest-traffic mobile screen in the app (diner ordering).","Increase to at least h-9 w-9 (36px) to match the documented icon-button sizing."
7,Critical,Mobile Responsiveness,Staff/POS/Station,components/pos/OrderCart.tsx,225,"Quantity increment/decrement/remove buttons in the POS cart are h-8 w-8 (32px), below the ~40px target needed for reliable touch input during live order entry on a POS terminal.","Increase to at least h-10 w-10 (40px) for touch-first POS controls."
8,Critical,Architecture Violation,Pages/Routing,pages/business/@id/+Page.tsx,6,"Page directly imports and calls fetchDiscoveryProfileApiCall/fetchDiscoveryMenuApiCall inside a useSuspenseQuery instead of going through a features/ hook, violating the hard components-vs-features data layer rule.","Move the queryFn logic into a use*.ts feature hook and have the page call the hook."
9,Critical,Architecture Violation,Pages/Routing,pages/feed/+Page.tsx,19,"Page directly imports fetchDiscoveryBusinessesApiCall and runs it inside useSuspenseQuery, bypassing the feature-hook layer.","Wrap the suspense query in a dedicated feature hook (e.g. useDiscoverySearch) and call that from the page."
10,High,Mobile Responsiveness,Admin/Management,components/management/schedule/BulkStaffWeeklySetupModal.tsx,101,"Long multi-section DialogContent (staff, template, day toggles, per-day time inputs) has no max-h or overflow-y-auto so content can be clipped on short mobile viewports.","Add max-h-[85vh] overflow-y-auto to the DialogContent."
11,High,Mobile Responsiveness,Admin/Management,components/management/inventory/InventoryItemModal.tsx,65,"297-line item form modal (name, category, pricing, variants) lacks max-h/overflow-y-auto making it unscrollable if it exceeds the mobile viewport height.","Add max-h-[85vh] overflow-y-auto to DialogContent like BatchCreateTableModal does."
12,High,Mobile Responsiveness,Admin/Management,components/management/attendance/AttendanceFilters.tsx,37,"Filter bar uses four fixed pixel widths (w-[280px], w-[180px], w-[160px], w-[200px]) that stack on mobile via flex-col but each retains its fixed width, risking overflow on narrow (320-375px) phones.","Use w-full sm:w-[280px] style responsive widths instead of fixed px values."
13,High,Design Consistency,Admin/Management,components/management/reservations/ReservationActionButtons.tsx,76,"Action buttons use hardcoded Tailwind palette colors (border-green-300/text-green-700, border-blue-300, border-gray-300, border-orange-300, border-red-300) instead of design system tokens, and conditional classes are built with template literals instead of cn().","Map each action to semantic tokens (e.g. text-primary, text-destructive) and use cn() for the conditional layout logic."
14,High,Design Consistency,Admin/Management,components/management/menu/MenuItemRow.tsx,58,"Delete button sets variant=""destructive"" but then overrides with hardcoded bg-red-600 hover:bg-red-700 text-white, duplicating/conflicting with the destructive token styling.","Remove the hardcoded classes and rely on variant=""destructive"" (bg-destructive) alone."
15,High,Design Consistency,Admin/Management,components/management/attendance/EditAttendanceModal.tsx,96,"Primary ""Save"" button hardcodes bg-indigo-600 hover:bg-indigo-700 instead of using the default Button (bg-primary) styling; same pattern repeated in ValidationModal.tsx:275, ValidationModal.tsx:296, AbsenceManagementTab.tsx:53, AttendanceNotesModal.tsx:64.","Drop the hardcoded indigo classes and use the default primary Button variant so it follows theme tokens."
16,High,Design Consistency,Admin/Management,components/management/menu/MenuCategoryCard.tsx,129,"Toggle/action buttons hardcode bg-indigo-500 hover:bg-indigo-600 instead of bg-primary token; same anti-pattern in MenuCategoryCardSortable.tsx:116, SimpleMenuCategoryCard.tsx:91/140/154/192, CreateMenuModal.tsx:158-163, MenuItemRowSortable.tsx:58, SimpleMenuItemRow.tsx:91/153.","Replace all hardcoded indigo-* classes with primary/token-based classes (bg-primary, text-primary)."
17,High,Design Consistency,Admin/Management,components/management/menu/MenuItemRow.tsx,29,"Row background/border/text use raw zinc palette (bg-zinc-50, border-zinc-200, text-zinc-800, text-zinc-500) instead of bg-muted/border-border/text-foreground/text-muted-foreground tokens; same pattern across MenuCategoryCard.tsx, MenuCategoryCardSortable.tsx, SimpleMenuCategoryCard.tsx, DNDSortableCategories.tsx:219, CreateMenuModal.tsx.","Swap zinc-* utilities for the equivalent semantic tokens (bg-muted, border-border, text-foreground, text-muted-foreground)."
18,High,Mobile Responsiveness,Customer/Public,components/diner-mode/DinerMenuItemSheet.tsx,109,"The bottom sheet uses a pb-safe class for the iOS home-indicator safe area but no such Tailwind utility is defined anywhere in the project (no safe-area plugin/theme entry), so it is a dead class and the Add-to-order CTA gets no real safe-area padding.","Add a real safe-area utility (e.g. style={{paddingBottom: 'env(safe-area-inset-bottom)'}} or a configured pb-safe plugin) to the sheet."
19,High,Mobile Responsiveness,Customer/Public,components/feed/PublicFeedSearchHero.tsx,68,"The search submit button is hidden md:flex, leaving mobile users with no visible way to trigger search besides the keyboard Enter key.","Show a visible search icon-button on mobile (e.g. inside the input) instead of hiding the only CTA."
20,High,Design Consistency,Customer/Public,components/jobs/JobCard.tsx,23,"Card and its hover states use hardcoded zinc/blue Tailwind palette (border-zinc-200, group-hover:border-blue-200, text-zinc-900, text-zinc-500, bg-blue-50 text-blue-600) instead of design tokens, so this heavily-reused job board card won't adapt in dark mode and doesn't match the app's primary brand color.","Replace with border-border, text-foreground, text-muted-foreground, hover:border-primary/30, hover:text-primary, bg-primary/10 text-primary."
21,High,Design Consistency,Customer/Public,components/profile/settings/SessionManagementSettings.tsx,83,"Session row background uses bg-white border-gray-200 (and bg-green-50 border-green-200) hardcoded, which will not adapt at all in dark mode since bg-white is a raw color, not a token.","Replace with bg-card border-border and a token-based success state instead of raw green-50/200."
